Frequency [MHz],|S0-0| [-],|S1-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Delay 0>0 [s],Delay 0>1 [s],|Z0| [Ohm],Arg(Z0) [rad]
5.617200e+03, 8.802758e-01, 4.771612e-01, -1.080487e+00, 5.053547e-02, 2.031709e-10, 2.671147e-10, 8.296116e+01, -1.426857e+00
5.623000e+03, 8.768604e-01, 4.805389e-01, -1.087891e+00, 4.080115e-02, 1.939611e-10, 2.679564e-10, 8.225371e+01, -1.423079e+00
5.628800e+03, 8.735017e-01, 4.839811e-01, -1.094959e+00, 3.103615e-02, 1.852630e-10, 2.694555e-10, 8.158585e+01, -1.419353e+00
5.634600e+03, 8.702485e-01, 4.874867e-01, -1.101711e+00, 2.121653e-02, 1.773280e-10, 2.715594e-10, 8.095497e+01, -1.415743e+00
5.640400e+03, 8.671463e-01, 4.910525e-01, -1.108173e+00, 1.132023e-02, 1.704198e-10, 2.742089e-10, 8.035782e+01, -1.412305e+00
5.646200e+03, 8.642370e-01, 4.946714e-01, -1.114383e+00, 1.327384e-03, 1.647582e-10, 2.773240e-10, 7.979047e+01, -1.409096e+00
5.652000e+03, 8.615533e-01, 4.983372e-01, -1.120388e+00, -8.778988e-03, 1.605742e-10, 2.808065e-10, 7.924842e+01, -1.406160e+00
5.657800e+03, 8.591215e-01, 5.020407e-01, -1.126239e+00, -1.901227e-02, 1.579673e-10, 2.845487e-10, 7.872661e+01, -1.403534e+00
5.663600e+03, 8.569563e-01, 5.057713e-01, -1.131996e+00, -2.938193e-02, 1.570412e-10, 2.884405e-10, 7.821977e+01, -1.401239e+00
5.669400e+03, 8.550658e-01, 5.095174e-01, -1.137719e+00, -3.989342e-02, 1.578067e-10, 2.923536e-10, 7.772248e+01, -1.399290e+00
5.675200e+03, 8.534475e-01, 5.132686e-01, -1.143470e+00, -5.054751e-02, 1.602797e-10, 2.961996e-10, 7.722938e+01, -1.397687e+00
5.681000e+03, 8.520878e-01, 5.170114e-01, -1.149311e+00, -6.134175e-02, 1.643182e-10, 2.998510e-10, 7.673517e+01, -1.396418e+00
5.686800e+03, 8.509658e-01, 5.207353e-01, -1.155299e+00, -7.226906e-02, 1.697701e-10, 3.032167e-10, 7.623511e+01, -1.395457e+00
5.692600e+03, 8.500521e-01, 5.244293e-01, -1.161486e+00, -8.331903e-02, 1.764420e-10, 3.062106e-10, 7.572501e+01, -1.394772e+00
5.698400e+03, 8.493106e-01, 5.280831e-01, -1.167916e+00, -9.447810e-02, 1.841521e-10, 3.087629e-10, 7.520137e+01, -1.394316e+00
5.704200e+03, 8.486960e-01, 5.316881e-01, -1.174627e+00, -1.057302e-01, 1.925516e-10, 3.108170e-10, 7.466130e+01, -1.394034e+00
5.710000e+03, 8.481612e-01, 5.352368e-01, -1.181644e+00, -1.170571e-01, 2.013567e-10, 3.123236e-10, 7.410308e+01, -1.393867e+00
5.715800e+03, 8.476567e-01, 5.387234e-01, -1.188982e+00, -1.284390e-01, 2.103329e-10, 3.132680e-10, 7.352584e+01, -1.393753e+00
5.721600e+03, 8.471305e-01, 5.421444e-01, -1.196647e+00, -1.398552e-01, 2.191330e-10, 3.136356e-10, 7.292949e+01, -1.393624e+00
5.727400e+03, 8.465293e-01, 5.454975e-01, -1.204633e+00, -1.512849e-01, 2.274345e-10, 3.134285e-10, 7.231494e+01, -1.393414e+00
5.733200e+03, 8.458056e-01, 5.487831e-01, -1.212921e+00, -1.627070e-01, 2.350001e-10, 3.126695e-10, 7.168404e+01, -1.393061e+00
5.739000e+03, 8.449124e-01, 5.520039e-01, -1.221485e+00, -1.741015e-01, 2.415555e-10, 3.114152e-10, 7.103925e+01, -1.392506e+00
5.744800e+03, 8.438093e-01, 5.551632e-01, -1.230288e+00, -1.854502e-01, 2.469000e-10, 3.096932e-10, 7.038374e+01, -1.391696e+00
5.750600e+03, 8.424627e-01, 5.582661e-01, -1.239285e+00, -1.967362e-01, 2.508822e-10, 3.075955e-10, 6.972111e+01, -1.390586e+00
5.756400e+03, 8.408447e-01, 5.613215e-01, -1.248428e+00, -2.079457e-01, 2.532840e-10, 3.051627e-10, 6.905526e+01, -1.389142e+00
5.762200e+03, 8.389382e-01, 5.643373e-01, -1.257659e+00, -2.190666e-01, 2.541146e-10, 3.025388e-10, 6.839050e+01, -1.387337e+00
5.768000e+03, 8.367332e-01, 5.673246e-01, -1.266919e+00, -2.300919e-01, 2.532077e-10, 2.997021e-10, 6.773093e+01, -1.385159e+00
5.773800e+03, 8.342290e-01, 5.702945e-01, -1.276147e+00, -2.410138e-01, 2.506864e-10, 2.969808e-10, 6.708093e+01, -1.382601e+00
5.779600e+03, 8.314339e-01, 5.732576e-01, -1.285282e+00, -2.518365e-01, 2.465500e-10, 2.941742e-10, 6.644436e+01, -1.379671e+00
5.785400e+03, 8.283656e-01, 5.762266e-01, -1.294267e+00, -2.625569e-01, 2.409148e-10, 2.916603e-10, 6.582493e+01, -1.376387e+00
5.791200e+03, 8.250506e-01, 5.792134e-01, -1.303047e+00, -2.731857e-01, 2.338875e-10, 2.894215e-10, 6.522592e+01, -1.372778e+00
5.797000e+03, 8.215222e-01, 5.822292e-01, -1.311570e+00, -2.837330e-01, 2.257120e-10, 2.874432e-10, 6.465020e+01, -1.368881e+00
5.802800e+03, 8.178209e-01, 5.852845e-01, -1.319796e+00, -2.942081e-01, 2.165534e-10, 2.860363e-10, 6.409998e+01, -1.364743e+00
5.808600e+03, 8.139910e-01, 5.883869e-01, -1.327687e+00, -3.046320e-01, 2.067666e-10, 2.851299e-10, 6.357700e+01, -1.360415e+00
5.814400e+03, 8.100820e-01, 5.915443e-01, -1.335222e+00, -3.150228e-01, 1.966073e-10, 2.846988e-10, 6.308212e+01, -1.355957e+00
5.820200e+03, 8.061453e-01, 5.947620e-01, -1.342387e+00, -3.253979e-01, 1.863338e-10, 2.849439e-10, 6.261563e+01, -1.351431e+00
5.826000e+03, 8.022333e-01, 5.980408e-01, -1.349178e+00, -3.357820e-01, 1.763434e-10, 2.857750e-10, 6.217721e+01, -1.346901e+00
5.831800e+03, 7.983977e-01, 6.013840e-01, -1.355604e+00, -3.461964e-01, 1.668650e-10, 2.871569e-10, 6.176572e+01, -1.342435e+00
5.837600e+03, 7.946846e-01, 6.047876e-01, -1.361685e+00, -3.566611e-01, 1.582963e-10, 2.890427e-10, 6.137953e+01, -1.338089e+00
5.843400e+03, 7.911398e-01, 6.082479e-01, -1.367454e+00, -3.671945e-01, 1.509182e-10, 2.915113e-10, 6.101620e+01, -1.333925e+00
5.849200e+03, 7.878017e-01, 6.117571e-01, -1.372954e+00, -3.778179e-01, 1.448835e-10, 2.943247e-10, 6.067276e+01, -1.329994e+00
5.855000e+03, 7.847006e-01, 6.153080e-01, -1.378234e+00, -3.885438e-01, 1.404997e-10, 2.974943e-10, 6.034597e+01, -1.326339e+00
5.860800e+03, 7.818590e-01, 6.188884e-01, -1.383354e+00, -3.993852e-01, 1.378640e-10, 3.008628e-10, 6.003200e+01, -1.322993e+00
5.866600e+03, 7.792911e-01, 6.224880e-01, -1.388378e+00, -4.103494e-01, 1.370782e-10, 3.043813e-10, 5.972690e+01, -1.319977e+00
5.872400e+03, 7.770026e-01, 6.260931e-01, -1.393373e+00, -4.214418e-01, 1.381535e-10, 3.079420e-10, 5.942656e+01, -1.317305e+00
5.878200e+03, 7.749869e-01, 6.296919e-01, -1.398408e+00, -4.326640e-01, 1.410533e-10, 3.113932e-10, 5.912692e+01, -1.314972e+00
5.884000e+03, 7.732292e-01, 6.332696e-01, -1.403548e+00, -4.440119e-01, 1.456791e-10, 3.146548e-10, 5.882406e+01, -1.312962e+00
5.889800e+03, 7.717066e-01, 6.368127e-01, -1.408857e+00, -4.554787e-01, 1.518118e-10, 3.176852e-10, 5.851435e+01, -1.311250e+00
5.895600e+03, 7.703868e-01, 6.403107e-01, -1.414390e+00, -4.670560e-01, 1.592895e-10, 3.203255e-10, 5.819467e+01, -1.309797e+00
5.901400e+03, 7.692299e-01, 6.437509e-01, -1.420195e+00, -4.787294e-01, 1.677906e-10, 3.225891e-10, 5.786229e+01, -1.308554e+00
