f_Hz,ReZ_ohm,ImZ_ohm
2.166900000000000000e+08,-2.130305999674043937e-02,-2.466606053690944267e-01
2.174250000000000000e+08,-2.274987042465371340e-02,-2.438153133419050933e-01
2.181600000000000000e+08,-2.586675847522663246e-02,-2.405699578269502870e-01
2.188950000000000000e+08,-3.028943673948853235e-02,-2.361851047819323590e-01
2.196300000000000000e+08,-3.533429834881426229e-02,-2.302121880106271223e-01
2.203650000000000000e+08,-4.020339171818945040e-02,-2.226130143653376747e-01
2.211000000000000000e+08,-4.421764775271359860e-02,-2.137487419936056621e-01
2.218350000000000000e+08,-4.700255020801857170e-02,-2.042464718573659965e-01
2.225700000000000000e+08,-4.856875067049496592e-02,-1.947914595458323517e-01
2.233050000000000000e+08,-4.926681507702643237e-02,-1.859154525486760023e-01
2.240400000000000000e+08,-4.963753505628579199e-02,-1.778500539313138673e-01
2.247750000000000000e+08,-5.021298922422869071e-02,-1.704895984583694457e-01
2.255100000000000000e+08,-5.133779428890901386e-02,-1.634693967230463063e-01
2.262450000000000000e+08,-5.307019645037937272e-02,-1.563256057361802898e-01
2.269800000000000000e+08,-5.519244858669188070e-02,-1.486761217684893499e-01
2.277150000000000000e+08,-5.732019867759350490e-02,-1.403570959546237285e-01
2.284500000000000000e+08,-5.906575820040373820e-02,-1.314682812920279498e-01
2.291850000000000000e+08,-6.019254874624256624e-02,-1.223151722851243406e-01
2.299200000000000000e+08,-6.070353897324373693e-02,-1.132738420268530194e-01
2.306550000000000000e+08,-6.083239685443257716e-02,-1.046318777496158675e-01
2.313900000000000000e+08,-6.094263520556260361e-02,-9.646640111220919356e-02
2.321250000000000000e+08,-6.137405844875378630e-02,-8.860554565714982844e-02
2.328600000000000000e+08,-6.229522692148235091e-02,-8.068837968745139200e-02
2.335950000000000000e+08,-6.361845520422113043e-02,-7.230143105782052548e-02
2.343300000000000000e+08,-6.501073850912690577e-02,-6.314112444455478867e-02
2.350650000000000000e+08,-6.599835896219287401e-02,-5.314130576828492158e-02
2.358000000000000000e+08,-6.612795678591380788e-02,-4.251746010670268139e-02
2.365350000000000000e+08,-6.512553599917647595e-02,-3.170962296902121030e-02
2.372700000000000000e+08,-6.299500286991224773e-02,-2.124309773884273944e-02
2.380050000000000000e+08,-6.001926567495843162e-02,-1.155641322665276229e-02
2.387400000000000000e+08,-5.666193778521419477e-02,-2.858607662225302361e-03
2.394750000000000000e+08,-5.340387853299315146e-02,4.931710879240991385e-03
2.402100000000000000e+08,-5.057327177990399852e-02,1.214190716751393541e-02
2.409450000000000000e+08,-4.823158577907378508e-02,1.920994549892211800e-02
2.416800000000000000e+08,-4.615864478043238406e-02,2.650633214780325625e-02
2.424150000000000000e+08,-4.394455257683989313e-02,3.417843996085329072e-02
2.431500000000000000e+08,-4.115708017890275239e-02,4.207554485490543755e-02
2.438850000000000000e+08,-3.752475063739081629e-02,4.978466108740154522e-02
2.446200000000000000e+08,-3.306872267260897724e-02,5.676759224845284030e-02
2.453550000000000000e+08,-2.813343053409212910e-02,6.255271863180926484e-02
2.460900000000000000e+08,-2.330101880816676935e-02,6.691404469608087935e-02
2.468250000000000000e+08,-1.921586050832094217e-02,6.997256354441355741e-02
2.475600000000000000e+08,-1.637851617661766415e-02,7.218074848443420399e-02
2.482950000000000000e+08,-1.498138067649665631e-02,7.419160514898345826e-02
2.490300000000000000e+08,-1.484555127979560532e-02,7.665518467296676686e-02
2.497650000000000000e+08,-1.548377990713707165e-02,8.001268500163866149e-02
2.505000000000000000e+08,-1.626976906421272878e-02,8.436078003696081962e-02
2.512350000000000000e+08,-1.665569443105385794e-02,8.943511936152910569e-02
2.519700000000000000e+08,-1.636174136265337517e-02,9.472032014208418838e-02
2.527050000000000000e+08,-1.547022900938396436e-02,9.964904373974177443e-02
2.534400000000000000e+08,-1.438956448487060426e-02,1.038206518935551326e-01
2.541750000000000000e+08,-1.369865527115871756e-02,1.071617106435263644e-01
2.549100000000000000e+08,-1.392503983296677038e-02,1.099694885239855119e-01
2.556450000000000000e+08,-1.533498227254126607e-02,1.128197537630007824e-01
2.563800000000000000e+08,-1.781167770902759157e-02,1.163682083580118293e-01
2.571150000000000000e+08,-2.086824336231031182e-02,1.211138780733974629e-01
2.578500000000000000e+08,-2.379508469295318895e-02,1.272082307490674524e-01
2.585850000000000000e+08,-2.589324671629879629e-02,1.343794806555982380e-01
2.593200000000000000e+08,-2.671385664663974632e-02,1.420022076455938198e-01
2.600550000000000000e+08,-2.622004889539633621e-02,1.492919800836978172e-01
2.607900000000000000e+08,-2.481313133489367051e-02,1.555607367681470510e-01
2.615250000000000000e+08,-2.321056347681100043e-02,1.604463120997250969e-01
2.622600000000000000e+08,-2.221426645687413562e-02,1.640364714785210454e-01
2.629950000000000000e+08,-2.244670879030210078e-02,1.668424456638025466e-01
2.637300000000000000e+08,-2.414531854178200709e-02,1.696282407405002857e-01
2.644650000000000000e+08,-2.708742385037505099e-02,1.731526125954531425e-01
2.652000000000000000e+08,-3.067346961422584214e-02,1.779123792851566577e-01
2.659350000000000000e+08,-3.414101247243964132e-02,1.839766110834469837e-01
2.666700000000000000e+08,-3.683579334391614418e-02,1.909703240723924222e-01
2.674050000000000000e+08,-3.844563271531684784e-02,1.982145433033465631e-01
2.681400000000000000e+08,-3.911509179951683235e-02,2.049752952329567945e-01
2.688750000000000000e+08,-3.939934480672743072e-02,2.107359310715731515e-01
2.696100000000000000e+08,-4.007074632993382068e-02,2.153980193057342951e-01
2.703450000000000000e+08,-4.184278658768651737e-02,2.193391915841318152e-01
2.710800000000000000e+08,-4.510607819756888570e-02,2.233046328116645163e-01
2.718150000000000000e+08,-4.976869363948215053e-02,2.281664773687872849e-01
2.725500000000000000e+08,-5.525828329244587833e-02,2.346321729665230005e-01
2.732850000000000000e+08,-6.068756627715215374e-02,2.430017417733595919e-01
2.740200000000000000e+08,-6.512789514468332597e-02,2.530574866129549072e-01
2.747550000000000000e+08,-6.789817886280082038e-02,2.641238896450495144e-01
2.754900000000000000e+08,-6.877158454051782166e-02,2.752768212937270476e-01
2.762250000000000000e+08,-6.803120866827316870e-02,2.856303257284460440e-01
2.769600000000000000e+08,-6.635790984142068971e-02,2.946033187124613151e-01
2.776950000000000000e+08,-6.459104184610410526e-02,3.020759686856895332e-01
2.784300000000000000e+08,-6.344660185859908597e-02,3.083839504721736513e-01
2.791650000000000000e+08,-6.329211505091152101e-02,3.141555880022161018e-01
2.799000000000000000e+08,-6.405743319479889619e-02,3.200527250221068543e-01
2.806350000000000000e+08,-6.531174735714388724e-02,3.265108826421399546e-01
2.813700000000000000e+08,-6.647669537142272822e-02,3.335746698403319055e-01
2.821050000000000000e+08,-6.709554498305601855e-02,3.408898672823135745e-01
2.828400000000000000e+08,-6.705733223944108923e-02,3.478565813244617888e-01
2.835750000000000000e+08,-6.669006343903804979e-02,3.538889249474290732e-01
2.843100000000000000e+08,-6.668320804015943903e-02,3.586866439153140185e-01
2.850450000000000000e+08,-6.786084787685719988e-02,3.624170338996263174e-01
2.857800000000000000e+08,-7.088205761430613205e-02,3.657344967120857437e-01
2.865150000000000000e+08,-7.597477476844564925e-02,3.696212090685208063e-01
2.872500000000000000e+08,-8.280180783970016167e-02,3.750967142905253793e-01
2.879850000000000000e+08,-9.051379729681437170e-02,3.828936446873256738e-01
2.887200000000000000e+08,-9.797871851673520260e-02,3.932123655040578591e-01
2.894550000000000000e+08,-1.041145230207234929e-01,4.056424790895352683e-01
2.901900000000000000e+08,-1.082137976625617420e-01,4.192825441442742940e-01
2.909250000000000000e+08,-1.101502381278396253e-01,4.330213414636996938e-01
2.916600000000000000e+08,-1.103955911812368462e-01,4.458882010541052043e-01
2.923950000000000000e+08,-1.098391938195637657e-01,4.573550142871750657e-01
2.931300000000000000e+08,-1.094694062786624456e-01,4.674870369599385955e-01
2.938650000000000000e+08,-1.100247876083080001e-01,4.768895324772203237e-01
2.946000000000000000e+08,-1.117355229414604550e-01,4.864670629240060440e-01
2.953350000000000000e+08,-1.142462565880422165e-01,4.970782294424480052e-01
2.960700000000000000e+08,-1.167488514417228951e-01,5.092069175380419255e-01
2.968050000000000000e+08,-1.182795318327670708e-01,5.227667083553521055e-01
2.975400000000000000e+08,-1.180762900536999338e-01,5.371089874998729030e-01
2.982750000000000000e+08,-1.158704699451247183e-01,5.512340240019262261e-01
2.990100000000000000e+08,-1.120084527143480613e-01,5.641331944959573352e-01
2.997450000000000000e+08,-1.073573656692734107e-01,5.751439018838959694e-01
3.004800000000000000e+08,-1.030232261018459855e-01,5.841921816629200848e-01
3.012150000000000000e+08,-9.997628614197619223e-02,5.918343283321789716e-01
3.019500000000000000e+08,-9.871373271705480290e-02,5.990772460913510455e-01
3.026850000000000000e+08,-9.908045775338314431e-02,6.070352320677998570e-01
3.034200000000000000e+08,-1.003155018981723712e-01,6.165408748125053018e-01
3.041550000000000000e+08,-1.013127316105169873e-01,6.278468501299631077e-01
