f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ22,ImZ22,ReZ12,ImZ12
8.458500000000000000e+08,6.754546618718575424e-01,2.825593708396660020e+00,-1.069146722542395067e-01,7.595998809750745817e-01,1.213795120819400608e-01,3.009754277369462439e-01,-1.133775261055512268e-01,7.384263605481891091e-01
8.465850000000000000e+08,6.932712571952108771e-01,2.857286276952831550e+00,-1.034799870555160040e-01,7.566344447376084359e-01,1.176725249048944377e-01,3.063843799624790254e-01,-1.103181498237751079e-01,7.350028720572023833e-01
8.473200000000000000e+08,7.091640967346113378e-01,2.889428605345220280e+00,-9.949925394093626918e-02,7.530649689413337899e-01,1.134939650942897865e-01,3.124201340417143147e-01,-1.067249067548352442e-01,7.310098820667255692e-01
8.480550000000000000e+08,7.231159943466515250e-01,2.922686326182261762e+00,-9.514583889311530041e-02,7.487804078206206082e-01,1.090217056737649848e-01,3.191743940504315202e-01,-1.027596917168757812e-01,7.263356134186578217e-01
8.487900000000000000e+08,7.352594721287131208e-01,2.957731900785575352e+00,-9.061289262009218637e-02,7.437138881129241597e-01,1.044486197362269886e-01,3.266942349084895891e-01,-9.860445631765456243e-02,7.209091876429362111e-01
8.495250000000000000e+08,7.458761400567397448e-01,2.995210698778449032e+00,-8.610231222414828356e-02,7.378458359820599943e-01,9.997167977913919146e-02,3.349801629119432689e-01,-9.445111468860857562e-02,7.147038290708079833e-01
8.502600000000000000e+08,7.553881849114360003e-01,3.035707846683569855e+00,-8.181335056433805542e-02,7.312043670378955973e-01,9.578099579966266319e-02,3.439867803223373155e-01,-9.049107183974844371e-02,7.077376329946958311e-01
8.509950000000000000e+08,7.643423216350769822e-01,3.079717714734607537e+00,-7.793155434901821721e-02,7.238629582272538832e-01,9.204939879789847401e-02,3.536259695180801188e-01,-8.690494793293573883e-02,7.000719041619197780e-01
8.517300000000000000e+08,7.733870127992604759e-01,3.127617766097939622e+00,-7.461867725042400923e-02,7.159355930214100772e-01,8.892313128338333317e-02,3.637723757051989915e-01,-8.385304571617845093e-02,6.918072024789805319e-01
8.524650000000000000e+08,7.832441535806060617e-01,3.179648234998096790e+00,-7.200413438567192237e-02,7.075697250732803090e-01,8.651413245516170747e-02,3.742708478222235846e-01,-8.146705418307807756e-02,6.830773507168474978e-01
8.532000000000000000e+08,7.946767219915974456e-01,3.235898756466653481e+00,-7.017844824503820245e-02,6.989375281445164845e-01,8.489430866649771978e-02,3.849454003394194301e-01,-7.984340397635032727e-02,6.740417589160381251e-01
8.539350000000000000e+08,8.084540905423724944e-01,3.296302674101147634e+00,-6.918899573994402585e-02,6.902259834928557991e-01,8.409206588822397410e-02,3.956091876679313502e-01,-7.903859454668715756e-02,6.648764983463801848e-01
8.546700000000000000e+08,8.253167826621199410e-01,3.360639338302386925e+00,-6.903821504819099286e-02,6.816263968162472597e-01,8.409125652471109713e-02,4.060749397956070483e-01,-7.906670518946645743e-02,6.557646119890626624e-01
8.554050000000000000e+08,8.459424437417384368e-01,3.428544307143523096e+00,-6.968428233415405182e-02,6.733239367990531132e-01,8.483256425784040100e-02,4.161652931703161418e-01,-7.989918725432443303e-02,6.468861775056871100e-01
