        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 7.60000000e-01,        +2.227395382101e-10,        +2.224469627980e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.65000000e-01,        +1.893034673652e-10,        +1.915924365958e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.70000000e-01,        +1.646764098289e-10,        +1.691935327952e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.75000000e-01,        +1.463124071877e-10,        +1.527894949914e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.80000000e-01,        +1.325696716409e-10,        +1.408021946191e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.85000000e-01,        +1.223660926643e-10,        +1.321983000150e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.90000000e-01,        +1.149816276051e-10,        +1.262962259783e-10,        +0.000000000000e+00,        +0.000000000000e+00
 7.95000000e-01,        +1.099418980169e-10,        +1.226529090025e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-01,        +1.069490038624e-10,        +1.209969064560e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.05000000e-01,        +1.058415174063e-10,        +1.211901052248e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.10000000e-01,        +1.065741443509e-10,        +1.232087480534e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.15000000e-01,        +1.092125233426e-10,        +1.271394074839e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.20000000e-01,        +1.139420493570e-10,        +1.331889176700e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.25000000e-01,        +1.210926420369e-10,        +1.417102955732e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.30000000e-01,        +1.311850403052e-10,        +1.532503433825e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.35000000e-01,        +1.450097753598e-10,        +1.686302042857e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.40000000e-01,        +1.637596589292e-10,        +1.890798365596e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.45000000e-01,        +1.892547526939e-10,        +2.164654736978e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e-01,        +2.243344279500e-10,        +2.536846166889e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.55000000e-01,        +2.735639287440e-10,        +3.053752748237e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.60000000e-01,        +3.445556767840e-10,        +3.792368250413e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.65000000e-01,        +4.505268438285e-10,        +4.885738730862e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.70000000e-01,        +6.153369040321e-10,        +6.572720178548e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.75000000e-01,        +8.829521827326e-10,        +9.290332648789e-10,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e-01,        +1.329892997975e-09,        +1.379038248535e-09,        +0.000000000000e+00,        +0.000000000000e+00
 8.85000000e-01,        +2.041761270980e-09,        +2.088257040964e-09,        +0.000000000000e+00,        +0.000000000000e+00
 8.90000000e-01,        +2.861473680314e-09,        +2.889851556136e-09,        +0.000000000000e+00,        +0.000000000000e+00
 8.95000000e-01,        +3.014463395143e-09,        +3.010267681601e-09,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-01,        +2.299014846631e-09,        +2.273758503926e-09,        +0.000000000000e+00,        +0.000000000000e+00
 9.05000000e-01,        +1.525180451155e-09,        +1.496597273626e-09,        +0.000000000000e+00,        +0.000000000000e+00
 9.10000000e-01,        +1.011420221236e-09,        +9.865650924623e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.15000000e-01,        +7.004190686990e-10,        +6.804992576752e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.20000000e-01,        +5.088489813142e-10,        +4.934198034198e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.25000000e-01,        +3.856730050269e-10,        +3.740131250508e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.30000000e-01,        +3.028855602640e-10,        +2.943414162281e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.35000000e-01,        +2.450015261094e-10,        +2.390455367350e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.40000000e-01,        +2.031423188039e-10,        +1.993611825504e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.45000000e-01,        +1.720015276808e-10,        +1.700725323630e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e-01,        +1.482793294276e-10,        +1.479489076280e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.55000000e-01,        +1.298488443753e-10,        +1.309158480994e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e-01,        +1.152951335808e-10,        +1.175983689974e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.65000000e-01,        +1.036505086754e-10,        +1.070595584388e-10,        +0.000000000000e+00,        +0.000000000000e+00
 9.70000000e-01,        +9.423713338431e-11,        +9.864559308329e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.75000000e-01,        +8.657039396611e-11,        +9.189085580252e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.80000000e-01,        +8.029785746709e-11,        +8.645815883040e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.85000000e-01,        +7.515972451735e-11,        +8.210011900927e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.90000000e-01,        +7.096264088614e-11,        +7.863364960982e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.95000000e-01,        +6.756203722454e-11,        +7.592280864430e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +6.485005644459e-11,        +7.386711254740e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00500000e+00,        +6.274724051519e-11,        +7.239352187067e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.01000000e+00,        +6.119682190670e-11,        +7.145096911966e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.01500000e+00,        +6.016088506345e-11,        +7.100671221534e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+00,        +5.961793494138e-11,        +7.104406411611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.02500000e+00,        +5.956159412595e-11,        +7.156123054399e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.03000000e+00,        +6.000028496849e-11,        +7.257112071158e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.03500000e+00,        +6.095786350826e-11,        +7.410210513258e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+00,        +6.247527661791e-11,        +7.619979878951e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.04500000e+00,        +6.461343034704e-11,        +7.893006457170e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+00,        +6.745760611169e-11,        +8.238358122881e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.05500000e+00,        +7.112397017879e-11,        +8.668253011804e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+00,        +7.576903399348e-11,        +9.199026894745e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.06500000e+00,        +8.160340920129e-11,        +9.852534940409e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.07000000e+00,        +8.891198284873e-11,        +1.065820198589e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.07500000e+00,        +9.808392818445e-11,        +1.165606463365e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+00,        +1.096581486116e-10,        +1.290136659451e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.08500000e+00,        +1.243935342704e-10,        +1.447164578302e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.09000000e+00,        +1.433801224322e-10,        +1.647791899569e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.09500000e+00,        +1.682194278586e-10,        +1.908277641549e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +2.013246718555e-10,        +2.253041434458e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.10500000e+00,        +2.464332632273e-10,        +2.719771639010e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.11000000e+00,        +3.094988797407e-10,        +3.368277524361e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.11500000e+00,        +4.002493794574e-10,        +4.295853930103e-10,        +0.000000000000e+00,        +0.000000000000e+00
