        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 1.26000000e+00,        +7.071067811865e+00,        +5.645751714085e-02,        +3.794104639899e-01
 1.26500000e+00,        +7.071067811865e+00,        +5.475208206975e-02,        +3.984170711836e-01
 1.27000000e+00,        +7.071067811865e+00,        +5.333869296212e-02,        +4.164302319114e-01
 1.27500000e+00,        +7.071067811865e+00,        +5.217340775831e-02,        +4.335560679076e-01
 1.28000000e+00,        +7.071067811865e+00,        +5.122022420501e-02,        +4.498861162364e-01
 1.28500000e+00,        +7.071067811865e+00,        +5.044943675616e-02,        +4.654997396144e-01
 1.29000000e+00,        +7.071067811865e+00,        +4.983637428602e-02,        +4.804660792578e-01
 1.29500000e+00,        +7.071067811865e+00,        +4.936042151766e-02,        +4.948456471110e-01
 1.30000000e+00,        +7.071067811865e+00,        +4.900425393757e-02,        +5.086916319234e-01
 1.30500000e+00,        +7.071067811865e+00,        +4.875323485301e-02,        +5.220509768048e-01
 1.31000000e+00,        +7.071067811865e+00,        +4.859493667607e-02,        +5.349652731568e-01
 1.31500000e+00,        +7.071067811865e+00,        +4.851875816883e-02,        +5.474715061764e-01
 1.32000000e+00,        +7.071067811865e+00,        +4.851561638967e-02,        +5.596026797002e-01
 1.32500000e+00,        +7.071067811865e+00,        +4.857769721560e-02,        +5.713883424249e-01
 1.33000000e+00,        +7.071067811865e+00,        +4.869825211320e-02,        +5.828550330950e-01
 1.33500000e+00,        +7.071067811865e+00,        +4.887143166282e-02,        +5.940266587753e-01
 1.34000000e+00,        +7.071067811865e+00,        +4.909214847082e-02,        +6.049248176053e-01
 1.34500000e+00,        +7.071067811865e+00,        +4.935596371786e-02,        +6.155690752760e-01
 1.35000000e+00,        +7.071067811865e+00,        +4.965899282270e-02,        +6.259772027650e-01
 1.35500000e+00,        +7.071067811865e+00,        +4.999782664735e-02,        +6.361653815011e-01
 1.36000000e+00,        +7.071067811865e+00,        +5.036946540112e-02,        +6.461483810365e-01
 1.36500000e+00,        +7.071067811865e+00,        +5.077126297052e-02,        +6.559397134243e-01
 1.37000000e+00,        +7.071067811865e+00,        +5.120087984828e-02,        +6.655517677821e-01
 1.37500000e+00,        +7.071067811865e+00,        +5.165624318545e-02,        +6.749959279472e-01
 1.38000000e+00,        +7.071067811865e+00,        +5.213551276874e-02,        +6.842826756488e-01
 1.38500000e+00,        +7.071067811865e+00,        +5.263705194624e-02,        +6.934216812372e-01
 1.39000000e+00,        +7.071067811865e+00,        +5.315940270157e-02,        +7.024218836879e-01
 1.39500000e+00,        +7.071067811865e+00,        +5.370126421864e-02,        +7.112915613340e-01
 1.40000000e+00,        +7.071067811865e+00,        +5.426147439375e-02,        +7.200383945581e-01
 1.40500000e+00,        +7.071067811865e+00,        +5.483899384486e-02,        +7.286695214953e-01
 1.41000000e+00,        +7.071067811865e+00,        +5.543289204333e-02,        +7.371915876413e-01
 1.41500000e+00,        +7.071067811865e+00,        +5.604233525560e-02,        +7.456107901340e-01
 1.42000000e+00,        +7.071067811865e+00,        +5.666657603251e-02,        +7.539329173680e-01
 1.42500000e+00,        +7.071067811865e+00,        +5.730494402633e-02,        +7.621633845082e-01
 1.43000000e+00,        +7.071067811865e+00,        +5.795683794986e-02,        +7.703072653964e-01
 1.43500000e+00,        +7.071067811865e+00,        +5.862171852296e-02,        +7.783693212730e-01
 1.44000000e+00,        +7.071067811865e+00,        +5.929910227835e-02,        +7.863540266804e-01
 1.44500000e+00,        +7.071067811865e+00,        +5.998855610381e-02,        +7.942655928510e-01
 1.45000000e+00,        +7.071067811865e+00,        +6.068969239133e-02,        +8.021079888834e-01
 1.45500000e+00,        +7.071067811865e+00,        +6.140216475889e-02,        +8.098849609952e-01
 1.46000000e+00,        +7.071067811865e+00,        +6.212566430444e-02,        +8.176000499955e-01
 1.46500000e+00,        +7.071067811865e+00,        +6.285991626849e-02,        +8.252566071615e-01
 1.47000000e+00,        +7.071067811865e+00,        +6.360467705742e-02,        +8.328578087205e-01
 1.47500000e+00,        +7.071067811865e+00,        +6.435973159960e-02,        +8.404066690817e-01
 1.48000000e+00,        +7.071067811865e+00,        +6.512489099523e-02,        +8.479060529409e-01
 1.48500000e+00,        +7.071067811865e+00,        +6.589999042439e-02,        +8.553586863701e-01
 1.49000000e+00,        +7.071067811865e+00,        +6.668488728310e-02,        +8.627671669941e-01
 1.49500000e+00,        +7.071067811865e+00,        +6.747945952169e-02,        +8.701339733453e-01
 1.50000000e+00,        +7.071067811865e+00,        +6.828360416313e-02,        +8.774614734755e-01
