        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 8.20000000e-01,        -1.032764582380e-01,        +1.742406714010e+02
 8.25000000e-01,        -1.105140439236e-01,        +1.737859731746e+02
 8.30000000e-01,        -1.205831757594e-01,        +1.732994563855e+02
 8.35000000e-01,        -1.342962834596e-01,        +1.727698920899e+02
 8.40000000e-01,        -1.528838702363e-01,        +1.721829861457e+02
 8.45000000e-01,        -1.782412302252e-01,        +1.715199571955e+02
 8.50000000e-01,        -2.133691708579e-01,        +1.707554288297e+02
 8.55000000e-01,        -2.631963800114e-01,        +1.698542892698e+02
 8.60000000e-01,        -3.361955713314e-01,        +1.687671531418e+02
 8.65000000e-01,        -4.477530446487e-01,        +1.674246689815e+02
 8.70000000e-01,        -6.276540725844e-01,        +1.657347799934e+02
 8.75000000e-01,        -9.376688900632e-01,        +1.636070114934e+02
 8.80000000e-01,        -1.512855954749e+00,        +1.611292186662e+02
 8.85000000e-01,        -2.629293852492e+00,        +1.595159757989e+02
 8.90000000e-01,        -4.437838530241e+00,        +1.646621758782e+02
 8.95000000e-01,        -4.922526275779e+00,        -1.776166768597e+02
 9.00000000e-01,        -3.187949946711e+00,        -1.681029782611e+02
 9.05000000e-01,        -1.850347811444e+00,        -1.683975094030e+02
 9.10000000e-01,        -1.142651121348e+00,        -1.706714768482e+02
 9.15000000e-01,        -7.628552956615e-01,        -1.728172671880e+02
 9.20000000e-01,        -5.437269354407e-01,        -1.745515345828e+02
 9.25000000e-01,        -4.080683096709e-01,        -1.759270642783e+02
 9.30000000e-01,        -3.189862790581e-01,        -1.770310854980e+02
 9.35000000e-01,        -2.576266242807e-01,        -1.779344132632e+02
 9.40000000e-01,        -2.136972023343e-01,        -1.786884783359e+02
 9.45000000e-01,        -1.812440212679e-01,        -1.793299031375e+02
 9.50000000e-01,        -1.566474632640e-01,        -1.798849391804e+02
 9.55000000e-01,        -1.376122918380e-01,        +1.796273033537e+02
 9.60000000e-01,        -1.226299839029e-01,        +1.791926572778e+02
 9.65000000e-01,        -1.106784069217e-01,        +1.788004211391e+02
 9.70000000e-01,        -1.010468715226e-01,        +1.784423605035e+02
 9.75000000e-01,        -9.323041486991e-02,        +1.781120235842e+02
 9.80000000e-01,        -8.686384699403e-02,        +1.778042644364e+02
 9.85000000e-01,        -8.167945257953e-02,        +1.775149047657e+02
 9.90000000e-01,        -7.747922084341e-02,        +1.772404895281e+02
 9.95000000e-01,        -7.411626480536e-02,        +1.769781068030e+02
 1.00000000e+00,        -7.148222040877e-02,        +1.767252521806e+02
 1.00500000e+00,        -6.949865183246e-02,        +1.764797241806e+02
 1.01000000e+00,        -6.811122965677e-02,        +1.762395412932e+02
 1.01500000e+00,        -6.728590708518e-02,        +1.760028738879e+02
 1.02000000e+00,        -6.700661515640e-02,        +1.757679859584e+02
 1.02500000e+00,        -6.727419973888e-02,        +1.755331827639e+02
 1.03000000e+00,        -6.810647328996e-02,        +1.752967610571e+02
 1.03500000e+00,        -6.953938124264e-02,        +1.750569588765e+02
 1.04000000e+00,        -7.162940871530e-02,        +1.748119018537e+02
 1.04500000e+00,        -7.445749980206e-02,        +1.745595426614e+02
 1.05000000e+00,        -7.813495565208e-02,        +1.742975895488e+02
 1.05500000e+00,        -8.281205736336e-02,        +1.740234188023e+02
 1.06000000e+00,        -8.869058663037e-02,        +1.737339642586e+02
 1.06500000e+00,        -9.604209424504e-02,        +1.734255744608e+02
 1.07000000e+00,        -1.052348745183e-01,        +1.730938243282e+02
 1.07500000e+00,        -1.167744686974e-01,        +1.727332628346e+02
 1.08000000e+00,        -1.313657499393e-01,        +1.723370705892e+02
 1.08500000e+00,        -1.500104026184e-01,        +1.718965910177e+02
 1.09000000e+00,        -1.741642112072e-01,        +1.714006868598e+02
 1.09500000e+00,        -2.059987520056e-01,        +1.708348653673e+02
 1.10000000e+00,        -2.488518412245e-01,        +1.701801320469e+02
 1.10500000e+00,        -3.080321762472e-01,        +1.694116472198e+02
 1.11000000e+00,        -3.923138675912e-01,        +1.684977196451e+02
 1.11500000e+00,        -5.168182648283e-01,        +1.674013274110e+02
 1.12000000e+00,        -7.087148632678e-01,        +1.660922179233e+02
 1.12500000e+00,        -1.018286152653e+00,        +1.645985585765e+02
 1.13000000e+00,        -1.536400754713e+00,        +1.631998375717e+02
 1.13500000e+00,        -2.389121386107e+00,        +1.630584881456e+02
 1.14000000e+00,        -3.500873135012e+00,        +1.673642312001e+02
 1.14500000e+00,        -3.920528008718e+00,        +1.779392575701e+02
 1.15000000e+00,        -3.057080726922e+00,        -1.737313872536e+02
 1.15500000e+00,        -2.024320336634e+00,        -1.717274114339e+02
 1.16000000e+00,        -1.333893571605e+00,        -1.725148514488e+02
 1.16500000e+00,        -9.173216176558e-01,        -1.739111810162e+02
 1.17000000e+00,        -6.617647980131e-01,        -1.752564466004e+02
 1.17500000e+00,        -4.980146068703e-01,        -1.764110838023e+02
 1.18000000e+00,        -3.882308589215e-01,        -1.773757664576e+02
 1.18500000e+00,        -3.115748378701e-01,        -1.781814200098e+02
 1.19000000e+00,        -2.561436444158e-01,        -1.788600499384e+02
 1.19500000e+00,        -2.148470695792e-01,        -1.794382339920e+02
 1.20000000e+00,        -1.832882513273e-01,        -1.799367151991e+02
 1.20500000e+00,        -1.586391891035e-01,        +1.796285961228e+02
 1.21000000e+00,        -1.390209374842e-01,        +1.792455037241e+02
 1.21500000e+00,        -1.231487681899e-01,        +1.789045983578e+02
 1.22000000e+00,        -1.101216814615e-01,        +1.785985528661e+02
 1.22500000e+00,        -9.929342470552e-02,        +1.783216018463e+02
 1.23000000e+00,        -9.019109880207e-02,        +1.780691606122e+02
 1.23500000e+00,        -8.246241364299e-02,        +1.778375456787e+02
 1.24000000e+00,        -7.584068033213e-02,        +1.776237684156e+02
 1.24500000e+00,        -7.012106684906e-02,        +1.774253814086e+02
 1.25000000e+00,        -6.514417380699e-02,        +1.772403629751e+02
 1.25500000e+00,        -6.078446883992e-02,        +1.770670295032e+02
 1.26000000e+00,        -5.694200851387e-02,        +1.769039682635e+02
 1.26500000e+00,        -5.353642423914e-02,        +1.767499854215e+02
 1.27000000e+00,        -5.050249274558e-02,        +1.766040654453e+02
 1.27500000e+00,        -4.778683222457e-02,        +1.764653391362e+02
 1.28000000e+00,        -4.534540920705e-02,        +1.763330582409e+02
 1.28500000e+00,        -4.314163683171e-02,        +1.762065751335e+02
 1.29000000e+00,        -4.114490962292e-02,        +1.760853264352e+02
 1.29500000e+00,        -3.932946401636e-02,        +1.759688197146e+02
 1.30000000e+00,        -3.767348447545e-02,        +1.758566226191e+02
 1.30500000e+00,        -3.615839654435e-02,        +1.757483539376e+02
 1.31000000e+00,        -3.476830347078e-02,        +1.756436762062e+02
 1.31500000e+00,        -3.348953402155e-02,        +1.755422895586e+02
 1.32000000e+00,        -3.231027709748e-02,        +1.754439265826e+02
 1.32500000e+00,        -3.122028461072e-02,        +1.753483479974e+02
 1.33000000e+00,        -3.021062842337e-02,        +1.752553390028e+02
 1.33500000e+00,        -2.927350038512e-02,        +1.751647061826e+02
 1.34000000e+00,        -2.840204694592e-02,        +1.750762748661e+02
 1.34500000e+00,        -2.759023167062e-02,        +1.749898868706e+02
 1.35000000e+00,        -2.683272039733e-02,        +1.749053985627e+02
 1.35500000e+00,        -2.612478487078e-02,        +1.748226791871e+02
 1.36000000e+00,        -2.546222152603e-02,        +1.747416094208e+02
 1.36500000e+00,        -2.484128275669e-02,        +1.746620801173e+02
 1.37000000e+00,        -2.425861851815e-02,        +1.745839912136e+02
 1.37500000e+00,        -2.371122652461e-02,        +1.745072507751e+02
 1.38000000e+00,        -2.319640962171e-02,        +1.744317741582e+02
 1.38500000e+00,        -2.271173917520e-02,        +1.743574832745e+02
 1.39000000e+00,        -2.225502352265e-02,        +1.742843059427e+02
 1.39500000e+00,        -2.182428070220e-02,        +1.742121753156e+02
 1.40000000e+00,        -2.141771480687e-02,        +1.741410293720e+02
 1.40500000e+00,        -2.103369542310e-02,        +1.740708104666e+02
 1.41000000e+00,        -2.067073970116e-02,        +1.740014649280e+02
 1.41500000e+00,        -2.032749667877e-02,        +1.739329427008e+02
 1.42000000e+00,        -2.000273353950e-02,        +1.738651970253e+02
 1.42500000e+00,        -1.969532353721e-02,        +1.737981841505e+02
 1.43000000e+00,        -1.940423535972e-02,        +1.737318630760e+02
 1.43500000e+00,        -1.912852374119e-02,        +1.736661953202e+02
 1.44000000e+00,        -1.886732116612e-02,        +1.736011447107e+02
 1.44500000e+00,        -1.861983051509e-02,        +1.735366771957e+02
 1.45000000e+00,        -1.838531848912e-02,        +1.734727606729e+02
 1.45500000e+00,        -1.816310976265e-02,        +1.734093648339e+02
 1.46000000e+00,        -1.795258182302e-02,        +1.733464610233e+02
 1.46500000e+00,        -1.775316034438e-02,        +1.732840221105e+02
 1.47000000e+00,        -1.756431503030e-02,        +1.732220223724e+02
 1.47500000e+00,        -1.738555588919e-02,        +1.731604373869e+02
 1.48000000e+00,        -1.721642989382e-02,        +1.730992439354e+02
 1.48500000e+00,        -1.705651797965e-02,        +1.730384199125e+02
 1.49000000e+00,        -1.690543234347e-02,        +1.729779442445e+02
 1.49500000e+00,        -1.676281400897e-02,        +1.729177968135e+02
 1.50000000e+00,        -1.662833063051e-02,        +1.728579583881e+02
