f_Hz,ReZ_ohm,ImZ_ohm
2.245250000000000000e+08,6.823143098045861277e-02,-4.981231947388797821e-01
2.255000000000000000e+08,6.945324025513195665e-02,-4.836492711414995260e-01
2.264750000000000000e+08,7.221957523726353634e-02,-4.698790878117340419e-01
2.274500000000000000e+08,7.633394266395357453e-02,-4.571456674875438164e-01
2.284250000000000000e+08,8.152880164665812779e-02,-4.457278035978933795e-01
2.294000000000000000e+08,8.747984636727537677e-02,-4.358352520505203165e-01
2.303750000000000000e+08,9.382331653539083272e-02,-4.275975296426955397e-01
2.313500000000000000e+08,1.001754626773302403e-01,-4.210569366795978152e-01
2.323250000000000000e+08,1.061531607759606116e-01,-4.161662198802181245e-01
2.333000000000000000e+08,1.113945823546654973e-01,-4.127910567182411783e-01
2.342750000000000000e+08,1.155787927489617256e-01,-4.107172832696532883e-01
2.352500000000000000e+08,1.184431809135732261e-01,-4.096625181774131708e-01
2.362250000000000000e+08,1.197977234626113191e-01,-4.092915730872657143e-01
2.372000000000000000e+08,1.195352527396941339e-01,-4.092348047132184363e-01
2.381750000000000000e+08,1.176371258143355386e-01,-4.091083753790388799e-01
2.391500000000000000e+08,1.141739639743188789e-01,-4.085352645847466491e-01
2.401250000000000000e+08,1.093014306433319899e-01,-4.071658258006005671e-01
2.411000000000000000e+08,1.032513165574065056e-01,-4.046967151830340725e-01
2.420750000000000000e+08,9.631848091125184974e-02,-4.008871292737485326e-01
2.430500000000000000e+08,8.884443495107299804e-02,-3.955714665903873883e-01
2.440250000000000000e+08,8.119853400920130915e-02,-3.886677570740547094e-01
2.450000000000000000e+08,7.375785563895846664e-02,-3.801814638405914271e-01
2.459750000000000000e+08,6.688688268515448343e-02,-3.702045329784354188e-01
2.469500000000000000e+08,6.091808451869581281e-02,-3.589098303026484471e-01
2.479250000000000000e+08,5.613440579921944590e-02,-3.465413436118614521e-01
2.489000000000000000e+08,5.275454138276548799e-02,-3.334007342346949621e-01
2.498750000000000000e+08,5.092171058456467642e-02,-3.198309862240409362e-01
2.508500000000000000e+08,5.069645535901308453e-02,-3.061980230702331940e-01
2.518250000000000000e+08,5.205378466286677414e-02,-2.928712405200594171e-01
2.528000000000000000e+08,5.488477878235058227e-02,-2.802039415546962453e-01
2.537750000000000000e+08,5.900255841871553109e-02,-2.685146574231641048e-01
2.547500000000000000e+08,6.415231860220574345e-02,-2.580702978073879383e-01
2.557250000000000000e+08,7.002493192707809344e-02,-2.490719938355732410e-01
2.567000000000000000e+08,7.627344514691790367e-02,-2.416443795059067812e-01
2.576750000000000000e+08,8.253163548955966267e-02,-2.358289004490562724e-01
2.586500000000000000e+08,8.843366747905581637e-02,-2.315815459631643813e-01
2.596250000000000000e+08,9.363380793665179724e-02,-2.287751760239194188e-01
2.606000000000000000e+08,9.782512623920207318e-02,-2.272063684882150991e-01
2.615750000000000000e+08,1.007561369056352990e-01,-2.266064560255995619e-01
2.625500000000000000e+08,1.022444363913769666e-01,-2.266561739426688482e-01
2.635250000000000000e+08,1.021865444656591404e-01,-2.270031175416748759e-01
2.645000000000000000e+08,1.005633753671990455e-01,-2.272810294177790014e-01
2.654750000000000000e+08,9.744102157286900490e-02,-2.271298190751722124e-01
2.664500000000000000e+08,9.296681493434394428e-02,-2.262151705524011458e-01
2.674250000000000000e+08,8.736091458477844574e-02,-2.242466230154115947e-01
