f_Hz,ReZ0_ohm,ImZ0_ohm
6.420000000000000000e+08,4.853641749957560592e+01,-2.557888509329738214e-01
6.440000000000000000e+08,4.853553106046562249e+01,-2.559998899918128346e-01
6.460000000000000000e+08,4.853464448506251472e+01,-2.562064189311911711e-01
6.480000000000000000e+08,4.853375779239660659e+01,-2.564084360300011300e-01
6.500000000000000000e+08,4.853287100150303246e+01,-2.566059396514295265e-01
6.520000000000000000e+08,4.853198413142137468e+01,-2.567989282432878162e-01
6.540000000000000000e+08,4.853109720119549308e+01,-2.569874003377902172e-01
6.560000000000000000e+08,4.853021022987282151e+01,-2.571713545516237098e-01
6.580000000000000000e+08,4.852932323650406943e+01,-2.573507895860700501e-01
6.600000000000000000e+08,4.852843624014290924e+01,-2.575257042267713459e-01
6.620000000000000000e+08,4.852754925984532974e+01,-2.576960973439169078e-01
6.640000000000000000e+08,4.852666231466955793e+01,-2.578619678921364455e-01
6.660000000000000000e+08,4.852577542367527030e+01,-2.580233149104497192e-01
6.680000000000000000e+08,4.852488860592345787e+01,-2.581801375222882444e-01
6.700000000000000000e+08,4.852400188047587903e+01,-2.583324349355508587e-01
6.720000000000000000e+08,4.852311526639471850e+01,-2.584802064423968315e-01
6.740000000000000000e+08,4.852222878274205442e+01,-2.586234514193431200e-01
6.760000000000000000e+08,4.852134244857955281e+01,-2.587621693270918399e-01
6.780000000000000000e+08,4.852045628296802704e+01,-2.588963597106734849e-01
6.800000000000000000e+08,4.851957030496693335e+01,-2.590260221992012890e-01
6.820000000000000000e+08,4.851868453363414346e+01,-2.591511565059257949e-01
6.840000000000000000e+08,4.851779898802524826e+01,-2.592717624281443145e-01
6.860000000000000000e+08,4.851691368719340858e+01,-2.593878398471438640e-01
6.880000000000000000e+08,4.851602865018875832e+01,-2.594993887280758194e-01
6.900000000000000000e+08,4.851514389605809185e+01,-2.596064091199870028e-01
6.920000000000000000e+08,4.851425944384438793e+01,-2.597089011556235061e-01
6.940000000000000000e+08,4.851337531258638336e+01,-2.598068650514613331e-01
6.960000000000000000e+08,4.851249152131819642e+01,-2.599003011074321190e-01
