f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ12,ImZ12,ReZ22,ImZ22
4.029000000000000000e+07,2.508809749083654506e+00,-5.016203406824693900e+00,2.507221131072320475e+00,-5.209647679870460735e+00,2.508972862979861329e+00,-5.211426531786758076e+00,2.510433711526068201e+00,-5.001827574720183911e+00
4.102500000000000000e+07,2.436332256521626327e+00,-4.956090092083783816e+00,2.434728135863711174e+00,-5.153098988032822625e+00,2.436433556629610031e+00,-5.154892443590544993e+00,2.437920352472946028e+00,-4.941415047501780400e+00
4.176000000000000000e+07,2.366724568277413177e+00,-4.896655615083092883e+00,2.365109947167153948e+00,-5.097231003242602476e+00,2.366768343175285061e+00,-5.099037212664494056e+00,2.368277317089549694e+00,-4.881680150649862604e+00
4.249500000000000000e+07,2.299850933417807664e+00,-4.837926870585501860e+00,2.298230069076539817e+00,-5.042073897777763491e+00,2.299841091622178091e+00,-5.043890437479218392e+00,2.301368654921547741e+00,-4.822649284151503402e+00
4.323000000000000000e+07,2.235582881406980249e+00,-4.779926188451090852e+00,2.233957440193026667e+00,-4.987652013495678105e+00,2.235521370340836089e+00,-4.989476219512594568e+00,2.237066122670077650e+00,-4.764344327980381877e+00
4.396500000000000000e+07,2.173798501890928936e+00,-4.722671978420749817e+00,2.172167006654140309e+00,-4.933983627546278505e+00,2.173684744642538025e+00,-4.935813001959624025e+00,2.175248315140740907e+00,-4.706783558602079864e+00
4.470000000000000000e+07,2.114381780115809573e+00,-4.666179037605648006e+00,2.112740601693626097e+00,-4.881081456720640865e+00,2.114213406779371418e+00,-4.882913950363206190e+00,2.115799710361447428e+00,-4.649982060638198966e+00
4.543500000000000000e+07,2.057222162482883920e+00,-4.610458629643988004e+00,2.055567530085728123e+00,-4.828953903150381421e+00,2.056996659421438167e+00,-4.830787945681604967e+00,2.058609948725652838e+00,-4.593951691288186368e+00
4.617000000000000000e+07,2.002214414115723429e+00,-4.555518532987207436e+00,2.000544409704101856e+00,-4.777606644442611739e+00,2.001930851403563416e+00,-4.779440924766118037e+00,2.003573551223270854e+00,-4.538700851621763732e+00
4.690500000000000000e+07,1.949258686615741087e+00,-4.501363247216698227e+00,1.947574202119693787e+00,-4.727043974647542335e+00,1.948918644697740010e+00,-4.728877103847862529e+00,1.950590065738783352e+00,-4.484234390321354624e+00
4.764000000000000000e+07,1.898260611906260165e+00,-4.447994444255041202e+00,1.896564778248150285e+00,-4.677269407341879237e+00,1.897867833039610819e+00,-4.679099657261787115e+00,1.899564421083134613e+00,-4.430553876374831113e+00
4.837500000000000000e+07,1.849131229171669721e+00,-4.395411606814708882e+00,1.847427604856097583e+00,-4.628285405411955544e+00,1.848690163642712214e+00,-4.630110677505957284e+00,1.850407170248433708e+00,-4.377658272360274161e+00
4.911000000000000000e+07,1.801786641362390640e+00,-4.343612682288684468e+00,1.800077082344899271e+00,-4.580092525620884203e+00,1.801300617819852512e+00,-4.581910585989571238e+00,1.803034365936464045e+00,-4.325544821784970573e+00
4.984500000000000000e+07,1.756147440720210673e+00,-4.292594554498758264e+00,1.754430741413380845e+00,-4.532688546160407839e+00,1.755617381863177284e+00,-4.534497423793993676e+00,1.757367001441776377e+00,-4.274209841300863566e+00
5.058000000000000000e+07,1.712138067001308661e+00,-4.242353211873929553e+00,1.710410078461458872e+00,-4.486068140708069585e+00,1.711562398954320940e+00,-4.487866497720476744e+00,1.713330173117911803e+00,-4.223649142408680390e+00
5.131500000000000000e+07,1.669686304240135089e+00,-4.192883630743983403e+00,1.667941492394760861e+00,-4.440223375046312704e+00,1.669062107209198897e+00,-4.442010665664061442e+00,1.670852265255426961e+00,-4.173857980098206077e+00
5.205000000000000000e+07,1.628723059836314713e+00,-4.144179525792944574e+00,1.626956738746593079e+00,-4.395144876557393943e+00,1.628047881585102719e+00,-4.396921212920332778e+00,1.629864452085608262e+00,-4.124830650937552967e+00
5.278500000000000000e+07,1.589182433965975916e+00,-4.096233178470053637e+00,1.587392564534011230e+00,-4.350823177186801338e+00,1.588455852027925275e+00,-4.352588964255534876e+00,1.590300658103104281e+00,-4.076560027687737175e+00
5.352000000000000000e+07,1.551001945964231465e+00,-4.049035507708499182e+00,1.549189604575234025e+00,-4.307249632969623931e+00,1.550226089108688976e+00,-4.309005149346097241e+00,1.552097893963639175e+00,-4.029037339310283627e+00
5.425500000000000000e+07,1.514122708962182928e+00,-4.002576418123092949e+00,1.512290997010415250e+00,-4.264416527248316768e+00,1.513301471278992061e+00,-4.266161655192654223e+00,1.515196702924831440e+00,-3.982252373510772880e+00
5.499000000000000000e+07,1.478489373448670152e+00,-3.956845313540652054e+00,1.476641322462522998e+00,-4.222316367727913189e+00,1.477626712628493211e+00,-4.224050599862630762e+00,1.479541403226756868e+00,-3.936194059759426267e+00
5.572500000000000000e+07,1.444049780602933764e+00,-3.911831572617619823e+00,1.442186313457915148e+00,-4.180940786601517800e+00,1.443147954000729483e+00,-4.182663496214548360e+00,1.445079919521200962e+00,-3.890851193752184134e+00
5.646000000000000000e+07,1.410754417143212924e+00,-3.867524794955325529e+00,1.408873397553709772e+00,-4.140279646966126492e+00,1.409813041813317236e+00,-4.141990474138952827e+00,1.411763207311180546e+00,-3.846212987963327112e+00
5.719500000000000000e+07,1.378555868915302351e+00,-3.823914735440027801e+00,1.376652721901951981e+00,-4.100320849575217252e+00,1.377572277897752162e+00,-4.102019994937623260e+00,1.379544482676796413e+00,-3.802269215241977474e+00
5.793000000000000000e+07,1.347408476709185621e+00,-3.780990996918456748e+00,1.345478068173685982e+00,-4.061050976223803843e+00,1.346379191415148835e+00,-4.062739239342127995e+00,1.348378571057208930e+00,-3.759009911843776308e+00
5.866500000000000000e+07,1.317268300836619055e+00,-3.738742669897669124e+00,1.315307125452355175e+00,-4.022456479654805683e+00,1.316190877001594206e+00,-4.024135008005813141e+00,1.318221632840034241e+00,-3.716424822802975036e+00
5.940000000000000000e+07,1.288093349073707428e+00,-3.697158132322457380e+00,1.286100915722850679e+00,-3.984524849577350647e+00,1.286967665111685699e+00,-3.986194712158680264e+00,1.289031338201420684e+00,-3.674502897629011944e+00
6.013500000000000000e+07,1.259843892189565606e+00,-3.656225139428577187e+00,1.257822597513810647e+00,-3.947245191648053986e+00,1.258672229574980150e+00,-3.948906983542484816e+00,1.260767341989168955e+00,-3.633232115328349998e+00
6.087000000000000000e+07,1.232482648730292007e+00,-3.615931184303073032e+00,1.230436191070055418e+00,-3.910607947845476051e+00,1.231268523361335632e+00,-3.912261620997377953e+00,1.233391762536482306e+00,-3.592599749289051569e+00
6.160500000000000000e+07,1.205974688387258853e+00,-3.576263969190928815e+00,1.203905812774838546e+00,-3.874603916051521324e+00,1.204721022894782889e+00,-3.876248921478887333e+00,1.206869369727718855e+00,-3.552592959073817447e+00
6.234000000000000000e+07,1.180287047884444496e+00,-3.537211767109674554e+00,1.178195754596278677e+00,-3.839223077650089522e+00,1.178994609193778631e+00,-3.840858749834576980e+00,1.181167336656533839e+00,-3.513199429646565175e+00
