k,t_real_s,y1,u1_aplicado,dy1,du1_aplicado
1533,7.665,2.269,66.475,-0.20799999999999974,16.474999999999994
1534,7.67,2.306,92.773,-0.17099999999999982,42.772999999999996
1535,7.675,2.386,5.703,-0.09099999999999975,-44.297
1536,7.68,2.308,22.871,-0.16900000000000004,-27.129
1537,7.685,2.26,31.543,-0.21700000000000008,-18.457
1538,7.69,2.3,66.475,-0.17700000000000005,16.474999999999994
1539,7.695,2.316,5.557,-0.16100000000000003,-44.443
1540,7.7,2.249,5.322,-0.22799999999999976,-44.678
1541,7.705,2.176,57.539,-0.3009999999999997,7.5390000000000015
1542,7.71,2.222,75.078,-0.2549999999999999,25.078000000000003
1543,7.715,2.217,31.396,-0.2599999999999998,-18.604
1544,7.72,2.25,83.926,-0.22699999999999987,33.926
1545,7.725,2.323,92.822,-0.15399999999999991,42.822
1546,7.73,2.311,92.842,-0.16599999999999993,42.842
1547,7.735,2.397,23.193,-0.08000000000000007,-26.807
1548,7.74,2.42,75.635,-0.05699999999999994,25.635000000000005
1549,7.745,2.487,93.281,0.010000000000000231,43.281000000000006
1550,7.75,2.504,5.996,0.027000000000000135,-44.004
1551,7.755,2.448,93.174,-0.028999999999999915,43.17400000000001
1552,7.76,2.525,93.369,0.04800000000000004,43.369
1553,7.765,2.58,93.564,0.1030000000000002,43.56399999999999
1554,7.77,2.664,93.74,0.18700000000000028,43.739999999999995
1555,7.775,2.695,41.455,0.21799999999999997,-8.545000000000002
1556,7.78,2.71,85.146,0.2330000000000001,35.146
1557,7.785,2.694,23.994,0.21700000000000008,-26.006
1558,7.79,2.663,41.289,0.18599999999999994,-8.710999999999999
1559,7.795,2.605,23.721,0.1280000000000001,-26.279
1560,7.8,2.627,6.348,0.1499999999999999,-43.652
1561,7.805,2.547,93.477,0.07000000000000028,43.477000000000004
1562,7.81,2.523,40.957,0.04600000000000026,-9.043
1563,7.815,2.565,93.506,0.08800000000000008,43.506
1564,7.82,2.64,93.701,0.16300000000000026,43.70099999999999
1565,7.825,2.71,93.906,0.2330000000000001,43.906000000000006
1566,7.83,2.786,94.092,0.30900000000000016,44.092
1567,7.835,2.849,94.258,0.37200000000000033,44.257999999999996
1568,7.84,2.825,24.297,0.3480000000000003,-25.703
1569,7.845,2.839,6.836,0.3620000000000001,-43.164
1570,7.85,2.748,94.014,0.27100000000000035,44.013999999999996
1571,7.855,2.728,23.994,0.25100000000000033,-26.006
1572,7.86,2.718,85.186,0.2410000000000001,35.18600000000001
1573,7.865,2.739,6.562,0.262,-43.438
1574,7.87,2.654,6.348,0.17700000000000005,-43.652
1575,7.875,2.608,6.24,0.13100000000000023,-43.76
1576,7.88,2.545,32.256,0.06800000000000006,-17.744
1577,7.885,2.534,6.064,0.05699999999999994,-43.936
1578,7.89,2.451,93.223,-0.0259999999999998,43.223
1579,7.895,2.536,6.055,0.05900000000000016,-43.945
1580,7.9,2.448,93.184,-0.028999999999999915,43.184
1581,7.905,2.536,6.084,0.05900000000000016,-43.916
1582,7.91,2.449,5.84,-0.028000000000000025,-44.16
1583,7.915,2.373,66.738,-0.10399999999999965,16.738
1584,7.92,2.33,40.459,-0.1469999999999998,-9.540999999999997
1585,7.925,2.337,5.566,-0.13999999999999968,-44.434
1586,7.93,2.257,92.666,-0.21999999999999975,42.666
1587,7.935,2.342,14.336,-0.1349999999999998,-35.664
1588,7.94,2.278,22.871,-0.19899999999999984,-27.129
1589,7.945,2.324,5.488,-0.15300000000000002,-44.512
1590,7.95,2.241,5.293,-0.23599999999999977,-44.707
1591,7.955,2.237,5.283,-0.23999999999999977,-44.717
1592,7.96,2.154,92.373,-0.32299999999999995,42.373000000000005
1593,7.965,2.249,48.926,-0.22799999999999976,-1.073999999999998
1594,7.97,2.283,92.744,-0.19399999999999995,42.744
1595,7.975,2.315,40.488,-0.16199999999999992,-9.512
1596,7.98,2.303,40.371,-0.17399999999999993,-9.628999999999998
1597,7.985,2.275,5.439,-0.20199999999999996,-44.561
1598,7.99,2.205,92.49,-0.2719999999999998,42.489999999999995
1599,7.995,2.216,40.156,-0.2609999999999997,-9.844000000000001
1600,8.0,2.289,92.734,-0.18799999999999972,42.733999999999995
1601,8.005,2.336,92.891,-0.14100000000000001,42.891000000000005
1602,8.011,2.421,5.791,-0.05600000000000005,-44.209
1603,8.015,2.36,92.939,-0.11699999999999999,42.93899999999999
1604,8.02,2.407,93.066,-0.06999999999999984,43.066
1605,8.025,2.494,93.291,0.017000000000000348,43.291
1606,8.03,2.473,93.281,-0.0040000000000000036,43.281000000000006
1607,8.035,2.558,32.344,0.08099999999999996,-17.656
1608,8.04,2.542,93.496,0.06499999999999995,43.495999999999995
1609,8.045,2.629,93.672,0.15200000000000014,43.672
1610,8.05,2.674,50.127,0.19700000000000006,0.12700000000000244
1611,8.055,2.672,32.627,0.19500000000000028,-17.372999999999998
1612,8.06,2.707,93.867,0.22999999999999998,43.867000000000004
1613,8.065,2.674,32.598,0.19700000000000006,-17.402
1614,8.07,2.714,93.916,0.2370000000000001,43.916
1615,8.075,2.732,93.984,0.25500000000000034,43.983999999999995
1616,8.08,2.815,94.18,0.3380000000000001,44.18000000000001
1617,8.085,2.814,15.508,0.3370000000000002,-34.492000000000004
1618,8.09,2.798,85.371,0.3210000000000002,35.370999999999995
1619,8.096,2.739,15.312,0.262,-34.688
1620,8.1,2.73,93.926,0.2530000000000001,43.926
1621,8.105,2.798,6.738,0.3210000000000002,-43.262
1622,8.11,2.713,6.494,0.2360000000000002,-43.506
1623,8.115,2.622,93.672,0.14500000000000002,43.672
1624,8.12,2.702,41.377,0.2250000000000001,-8.622999999999998
1625,8.125,2.717,93.906,0.2400000000000002,43.906000000000006
1626,8.13,2.793,94.131,0.3160000000000003,44.131
1627,8.135,2.859,94.307,0.3820000000000001,44.307
1628,8.14,2.872,94.326,0.395,44.32599999999999
1629,8.145,2.935,42.041,0.4580000000000002,-7.959000000000003
1630,8.15,2.888,94.365,0.41100000000000003,44.364999999999995
1631,8.155,2.953,7.129,0.476,-42.871
1632,8.16,2.861,6.865,0.38400000000000034,-43.135
1633,8.165,2.762,94.092,0.28500000000000014,44.092
1634,8.17,2.835,94.219,0.3580000000000001,44.218999999999994
1635,8.175,2.901,94.434,0.42399999999999993,44.434
1636,8.181,2.969,94.609,0.492,44.608999999999995
1637,8.185,2.967,59.639,0.4900000000000002,9.639000000000003
1638,8.19,2.986,42.178,0.5090000000000003,-7.822000000000003
1639,8.195,2.948,50.83,0.4710000000000001,0.8299999999999983
1640,8.2,2.898,94.424,0.42100000000000026,44.42400000000001
1641,8.205,2.959,7.148,0.4820000000000002,-42.852000000000004
1642,8.21,2.906,6.982,0.42900000000000027,-43.018
1643,8.215,2.807,6.738,0.33000000000000007,-43.262
1644,8.22,2.745,32.705,0.26800000000000024,-17.295
1645,8.225,2.689,6.377,0.2120000000000002,-43.623
1646,8.23,2.599,6.23,0.12200000000000033,-43.769999999999996
1647,8.235,2.614,93.594,0.137,43.593999999999994
1648,8.24,2.677,6.436,0.20000000000000018,-43.564
1649,8.245,2.594,6.221,0.11699999999999999,-43.778999999999996
